textSize, RT BruteForce, RT FSM, 	RT KMP, 	RT RabinKarp, RT Sunday
34000,	   364300,	   234800,	   332000,	   3408200,	   191700
34100,	   393600,	   295000,	   360700,	   2955400,	   179400
34200,	   365200,	   236700,	   319500,	   3101800,	   184600
34300,	   371200,	   237000,	   334500,	   3325300,	   180800
34400,	   373200,	   237700,	   456800,	   3034900,	   179200
34500,	   369400,	   246700,	   349800,	   3107400,	   180900
34600,	   371600,	   240100,	   336200,	   2878200,	   182400
34700,	   371500,	   279600,	   337500,	   3256600,	   179600
34800,	   377800,	   241300,	   326100,	   2848700,	   180100
34900,	   375500,	   241200,	   326100,	   3143600,	   184100
35000,	   376000,	   253100,	   341900,	   2887500,	   184400
35100,	   378300,	   450800,	   329900,	   3341800,	   185300
35200,	   378200,	   255600,	   343200,	   3126300,	   185400
35300,	   379200,	   243500,	   330400,	   2885800,	   186400
35400,	   380800,	   244400,	   330700,	   3136300,	   194700
35500,	   547900,	   372300,	   377300,	   3130600,	   183900
35600,	   379900,	   253600,	   345700,	   3237700,	   186500
35700,	   382300,	   254500,	   332600,	   3128700,	   188000
35800,	   379900,	   253700,	   331000,	   3318500,	   186000
35900,	   420700,	   261600,	   335100,	   3221800,	   189800
36000,	   389500,	   248900,	   331000,	   2950300,	   188000
36100,	   427500,	   248800,	   357700,	   3321200,	   210400
36200,	   604000,	   318000,	   339000,	   3073500,	   270100
36300,	   389300,	   250300,	   338700,	   3299100,	   188100
36400,	   390600,	   250500,	   341900,	   3183700,	   191900
36500,	   446200,	   335500,	   342000,	   3398900,	   191400
36600,	   394200,	   257900,	   357100,	   3494200,	   190400
36700,	   392900,	   252900,	   357000,	   3047500,	   192300
36800,	   472100,	   253800,	   338800,	   3592000,	   190600
36900,	   431500,	   253800,	   344900,	   3411100,	   192800
37000,	   442600,	   276800,	   414400,	   3296500,	   196600
37100,	   436500,	   255000,	   367400,	   3470800,	   209600
37200,	   741500,	   323400,	   417500,	   5598300,	   418400
37300,	   1340200,	   745400,	   1764600,	   9591900,	   246100
37400,	   514400,	   335400,	   502700,	   5468500,	   441400
37500,	   893800,	   579600,	   737700,	   4241900,	   406400
37600,	   1015700,	   614800,	   645400,	   4338800,	   494300
37700,	   1046100,	   582900,	   722000,	   4713600,	   223400
37800,	   533100,	   321700,	   475600,	   4044900,	   230800
37900,	   493700,	   304200,	   460800,	   4798700,	   248700
38000,	   465100,	   296800,	   428300,	   3750100,	   259500
