textSize, RT BruteForce, RT FSM, 	RT KMP, 	RT RabinKarp, RT Sunday
20700,	   490700,	   219700,	   241400,	   430000,	   122800
20800,	   273400,	   168100,	   236600,	   430100,	   125900
20900,	   273100,	   169000,	   246100,	   440900,	   125400
21000,	   275100,	   165700,	   238800,	   437700,	   125800
21100,	   279100,	   168900,	   240300,	   438000,	   126400
21200,	   279000,	   166700,	   241700,	   441500,	   128100
21300,	   278700,	   184900,	   242900,	   590100,	   139300
21400,	   283400,	   173800,	   601700,	   481600,	   127800
21500,	   281900,	   169800,	   244200,	   445500,	   127000
21600,	   282200,	   171300,	   246300,	   447100,	   129400
21700,	   285200,	   170400,	   246900,	   457300,	   129700
21800,	   295900,	   171200,	   246900,	   469000,	   129600
21900,	   328000,	   201800,	   284000,	   539400,	   220600
22000,	   600500,	   453700,	   411600,	   553000,	   155000
22100,	   353900,	   232200,	   312300,	   537700,	   139800
22200,	   361700,	   189400,	   270200,	   601000,	   156100
22300,	   345300,	   179700,	   263100,	   473500,	   146500
22400,	   412900,	   178100,	   254900,	   467600,	   170500
22500,	   380100,	   279500,	   262500,	   545400,	   151600
22600,	   330000,	   196800,	   291700,	   505500,	   144600
22700,	   312300,	   219800,	   271600,	   496600,	   150200
22800,	   328400,	   178500,	   263700,	   473800,	   136200
22900,	   300000,	   180200,	   261300,	   475400,	   160300
23000,	   302800,	   179300,	   261500,	   477300,	   138700
23100,	   302300,	   180100,	   262600,	   480000,	   137600
23200,	   303400,	   184300,	   265500,	   479700,	   138000
23300,	   305800,	   181100,	   293400,	   500400,	   131200
23400,	   284100,	   169000,	   289700,	   510300,	   144300
23500,	   515800,	   271600,	   473200,	   743000,	   208900
23600,	   457800,	   410400,	   397000,	   711400,	   190500
23700,	   394300,	   237700,	   340700,	   491400,	   159800
23800,	   329900,	   185100,	   291100,	   507100,	   134400
23900,	   326000,	   195100,	   274000,	   496200,	   141100
24000,	   315500,	   190200,	   273300,	   501600,	   143600
24100,	   314800,	   190200,	   275100,	   518600,	   143700
24200,	   318400,	   187200,	   275200,	   503900,	   142900
24300,	   317600,	   191600,	   277900,	   503400,	   175800
24400,	   320600,	   190900,	   277700,	   531900,	   261200
24500,	   450400,	   286100,	   432500,	   650300,	   134600
24600,	   319600,	   196400,	   317900,	   475000,	   136800
24700,	   378800,	   193000,	   261200,	   484100,	   136300
24800,	   300500,	   181800,	   263400,	   478300,	   137900
